,File Name,Commit msg,Complexity,Nol Added,Nol Removed,No of lines in file,Token Count,No of Changed Methods,No of Methods,Code Churn Files Count,Code Churn Files Max,Code Churn Files Avg,Commits Count,Hunks Count,Added Lines Count,Added Lines Max,Added Lines avg,Removed Lines Count,Removed Lines max,Removed Lines avg,BugLabelLevel,CommitBug,AddRemoved,CommitAddRemoved
streams/src/test/java/org/apache/kafka/streams/KafkaStreamsTest.java,streams/src/test/java/org/apache/kafka/streams/KafkaStreamsTest.java,"MINOR: Apply try-with-resource to KafkaStreamsTest (#10668)

Reviewers: Chia-Ping Tsai <chia7712@gmail.com>, Matthias J. Sax <matthias@confluent.io>",71,199,181,989,8763,24,51,1150,153,11,107,4,2980,418,28,1830,460,17,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractStickyAssignor.java,clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractStickyAssignor.java,"KAFKA-12675: improve the sticky general assignor scalability and performance (#10552)

I did code refactor/optimization, keep the same algorithm in this PR.

Originally, With this setting:
topicCount = 50;
partitionCount = 800;
consumerCount = 800;
We complete in 10 seconds, after my code refactor, the time down to 100~200 ms

With the 1 million partitions setting:
topicCount = 500;
partitionCount = 2000;
consumerCount = 2000;
No OutOfMemory will be thrown anymore. The time will take 4~5 seconds.

Reviewers: Vahid Hashemian <vahid.hashemian@gmail.com>, Guozhang Wang <wangguoz@gmail.com>",194,314,197,809,6922,30,44,1205,864,120,10,5.5,1639,864,164,434,197,43,2,1,0,1
clients/src/test/java/org/apache/kafka/clients/consumer/StickyAssignorTest.java,clients/src/test/java/org/apache/kafka/clients/consumer/StickyAssignorTest.java,"KAFKA-12675: improve the sticky general assignor scalability and performance (#10552)

I did code refactor/optimization, keep the same algorithm in this PR.

Originally, With this setting:
topicCount = 50;
partitionCount = 800;
consumerCount = 800;
We complete in 10 seconds, after my code refactor, the time down to 100~200 ms

With the 1 million partitions setting:
topicCount = 500;
partitionCount = 2000;
consumerCount = 2000;
No OutOfMemory will be thrown anymore. The time will take 4~5 seconds.

Reviewers: Vahid Hashemian <vahid.hashemian@gmail.com>, Guozhang Wang <wangguoz@gmail.com>",28,72,59,202,2385,7,8,252,689,19,13,4,1333,689,103,1081,818,83,2,1,0,1
clients/src/test/java/org/apache/kafka/clients/consumer/internals/AbstractStickyAssignorTest.java,clients/src/test/java/org/apache/kafka/clients/consumer/internals/AbstractStickyAssignorTest.java,"KAFKA-12675: improve the sticky general assignor scalability and performance (#10552)

I did code refactor/optimization, keep the same algorithm in this PR.

Originally, With this setting:
topicCount = 50;
partitionCount = 800;
consumerCount = 800;
We complete in 10 seconds, after my code refactor, the time down to 100~200 ms

With the 1 million partitions setting:
topicCount = 500;
partitionCount = 2000;
consumerCount = 2000;
No OutOfMemory will be thrown anymore. The time will take 4~5 seconds.

Reviewers: Vahid Hashemian <vahid.hashemian@gmail.com>, Guozhang Wang <wangguoz@gmail.com>",95,73,79,677,7557,16,39,919,799,131,7,7,1096,799,157,177,79,25,2,1,0,1
clients/src/main/java/org/apache/kafka/common/metrics/stats/Rate.java,clients/src/main/java/org/apache/kafka/common/metrics/stats/Rate.java,"KAFKA-12880: Remove deprecated `Count` and `SampledTotal` in 3.0 (#10808)

They were both deprecated in Apache Kafka 2.4 and it's a straightforward change
to use the non deprecated variants.

Reviewers: David Jacot <djacot@confluent.io>",10,0,7,51,377,0,9,104,85,6,17,1,227,85,13,123,22,7,2,1,0,1
trogdor/src/main/java/org/apache/kafka/trogdor/workload/ConsumeBenchWorker.java,trogdor/src/main/java/org/apache/kafka/trogdor/workload/ConsumeBenchWorker.java,"KAFKA-12867: Fix ConsumeBenchWorker exit behavior for maxMessages config (#10797)

The trogdor ConsumeBenchWorker allows several consumption tasks to be run in parallel, the number is configurable using the threadsPerWorker config. If one of the consumption tasks completes executing successfully due to maxMessages being consumed, then, the consumption task prematurely notifies the doneFuture causing the entire ConsumeBenchWorker to halt. This becomes a problem when more than 1 consumption task is running in parallel, because the successful completion of 1 of the tasks shuts down the entire worker while the other tasks are still running. When the worker is shut down, it kills all the active consumption tasks, though they have not consumed maxMessages yet. This commit defers notification of the doneFuture to the CloseStatusUpdater thread, which is already responsible for tracking the status of the tasks and updating their status when all of the tasks complete.

Reviewers: Rajini Sivaram <rajinisivaram@googlemail.com>",68,1,1,466,3315,2,41,566,298,51,11,2,672,298,61,106,50,10,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/consumer/ConsumerInterceptor.java,clients/src/main/java/org/apache/kafka/clients/consumer/ConsumerInterceptor.java,"MINOR: remove unneccessary public keyword from ProducerInterceptor/ConsumerInterceptor interface (#10801)

Co-authored-by: “KahnCheny” <“kahn.cheny@gmail.com”>

Reviewers: Luke Chen <showuon@gmail.com>, David Jacot <djacot@confluent.io>",0,3,3,9,88,0,0,83,72,12,7,1,99,72,14,16,9,2,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/producer/ProducerInterceptor.java,clients/src/main/java/org/apache/kafka/clients/producer/ProducerInterceptor.java,"MINOR: remove unneccessary public keyword from ProducerInterceptor/ConsumerInterceptor interface (#10801)

Co-authored-by: “KahnCheny” <“kahn.cheny@gmail.com”>

Reviewers: Luke Chen <showuon@gmail.com>, David Jacot <djacot@confluent.io>",0,3,3,7,66,0,0,95,88,19,5,1,102,88,20,7,3,1,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/admin/AbortTransactionOptions.java,clients/src/main/java/org/apache/kafka/clients/admin/AbortTransactionOptions.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",1,8,0,11,56,1,1,31,23,16,2,1.0,31,23,16,0,0,0,1,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/Admin.java,clients/src/main/java/org/apache/kafka/clients/admin/Admin.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",48,22,0,238,1902,1,48,1562,937,56,28,2.0,1768,937,63,206,103,7,2,1,0,1
